x0000,y0000
1276.,7073.3333333333
1277.,6646.6666666667
1278.,6823.3333333333
1279.,7040.
1280.,6980.
1281.,7210.
1282.,7093.3333333333
1283.,6760.
1284.,6830.
1285.,7053.3333333333
1286.,6700.
1287.,6983.3333333333
1288.,6853.3333333333
1289.,7263.3333333333
1290.,7223.3333333333
1291.,6720.
1292.,7233.3333333333
1293.,7036.6666666667
1294.,7116.6666666667
1295.,7176.6666666667
1296.,7020.
1297.,6640.
1298.,6850.
1299.,6970.
1300.,7186.6666666667
1301.,7050.
1302.,7210.
1303.,6953.3333333333
1304.,6880.
1305.,7253.3333333333
1306.,6933.3333333333
1307.,6906.6666666667
1308.,7016.6666666667
1309.,7066.6666666667
1310.,6903.3333333333
1311.,6793.3333333333
1312.,6850.
1313.,7013.3333333333
1314.,7156.6666666667
1315.,7163.3333333333
1316.,7033.3333333333
1317.,7483.3333333333
1318.,7330.
1319.,7480.
1320.,7386.6666666667
1321.,7553.3333333333
1322.,7363.3333333333
1323.,7430.
1324.,7153.3333333333
1325.,7403.3333333333
1326.,7113.3333333333
1327.,7180.
1328.,7426.6666666667
1329.,7223.3333333333
1330.,7070.
1331.,6953.3333333333
1332.,7116.6666666667
1333.,6813.3333333333
1334.,7130.
1335.,7400.
1336.,7433.3333333333
1337.,7403.3333333333
1338.,7166.6666666667
1339.,6880.
1340.,7133.3333333333
1341.,6793.3333333333
1342.,6850.
1343.,7110.
1344.,6893.3333333333
1345.,7250.
1346.,6940.
1347.,7446.6666666667
1348.,7330.
1349.,7163.3333333333
1350.,7013.3333333333
1351.,7303.3333333333
1352.,7196.6666666667
1353.,7380.
1354.,6916.6666666667
1355.,7493.3333333333
1356.,7180.
1357.,7403.3333333333
1358.,7403.3333333333
1359.,7196.6666666667
1360.,7136.6666666667
1361.,7586.6666666667
1362.,7310.
1363.,7253.3333333333
1364.,6980.
1365.,7013.3333333333
1366.,7170.
1367.,6796.6666666667
1368.,6886.6666666667
1369.,6973.3333333333
1370.,7020.
1371.,6870.
1372.,7420.
1373.,7233.3333333333
1374.,7233.3333333333
1375.,7030.
1376.,6853.3333333333
1377.,7010.
1378.,6950.
1379.,7083.3333333333
1380.,6960.
1381.,6966.6666666667
1382.,7180.
1383.,6853.3333333333
1384.,6776.6666666667
1385.,6943.3333333333
1386.,6883.3333333333
1387.,7040.
1388.,7200.
1389.,6963.3333333333
1390.,6786.6666666667
