x0000,y0000
809.,6330.
810.,6913.3333333333
811.,6830.
812.,6966.6666666667
813.,7010.
814.,7180.
815.,7236.6666666667
816.,6863.3333333333
817.,7283.3333333333
818.,7370.
819.,6983.3333333333
820.,7046.6666666667
821.,7370.
822.,7176.6666666667
823.,7273.3333333333
824.,7020.
825.,6996.6666666667
826.,7343.3333333333
827.,7340.
828.,7323.3333333333
829.,7363.3333333333
830.,6916.6666666667
831.,6726.6666666667
832.,7230.
833.,7046.6666666667
834.,6906.6666666667
835.,7086.6666666667
836.,6876.6666666667
837.,6916.6666666667
838.,7210.
839.,7193.3333333333
840.,6623.3333333333
841.,7113.3333333333
842.,7020.
843.,7243.3333333333
844.,7676.6666666667
845.,7443.3333333333
846.,7266.6666666667
847.,7480.
848.,7460.
849.,7286.6666666667
850.,7110.
851.,6986.6666666667
852.,7313.3333333333
853.,6900.
854.,7123.3333333333
855.,7030.
856.,7423.3333333333
857.,7376.6666666667
858.,6730.
859.,7136.6666666667
860.,6990.
861.,7066.6666666667
862.,6883.3333333333
863.,7003.3333333333
864.,6986.6666666667
865.,7033.3333333333
866.,7260.
867.,7363.3333333333
868.,6836.6666666667
869.,7376.6666666667
870.,7060.
871.,7013.3333333333
872.,7196.6666666667
873.,7103.3333333333
874.,7020.
875.,7236.6666666667
876.,7540.
877.,7523.3333333333
878.,7640.
879.,7270.
880.,7560.
881.,7816.6666666667
882.,7420.
883.,7300.
884.,7116.6666666667
885.,6960.
886.,7353.3333333333
887.,7286.6666666667
888.,7513.3333333333
889.,7686.6666666667
890.,7760.
891.,7493.3333333333
892.,7820.
893.,7813.3333333333
894.,7536.6666666667
895.,7400.
896.,7326.6666666667
897.,7386.6666666667
898.,7393.3333333333
899.,7300.
900.,7373.3333333333
901.,5050.
902.,5396.6666666667
903.,5603.3333333333
904.,6076.6666666667
905.,6070.
906.,6553.3333333333
907.,6670.
908.,6913.3333333333
909.,6940.
910.,6693.3333333333
911.,6800.
912.,6943.3333333333
913.,6936.6666666667
914.,7273.3333333333
915.,7300.
916.,7210.
917.,7383.3333333333
918.,7593.3333333333
919.,7433.3333333333
920.,7196.6666666667
921.,7043.3333333333
922.,6863.3333333333
923.,6920.
924.,7140.
925.,7043.3333333333
926.,7173.3333333333
927.,7296.6666666667
928.,7206.6666666667
929.,7686.6666666667
930.,7700.
931.,7203.3333333333
932.,4393.3333333333
933.,4546.6666666667
934.,4270.
935.,4213.3333333333
936.,4323.3333333333
937.,4300.
938.,4420.
939.,4140.
940.,4206.6666666667
941.,4316.6666666667
942.,4343.3333333333
943.,4180.
944.,4233.3333333333
945.,4433.3333333333
946.,4623.3333333333
947.,4546.6666666667
948.,4706.6666666667
949.,4290.
950.,4076.6666666667
951.,3903.3333333333
952.,3980.
953.,4026.6666666667
954.,4056.6666666667
955.,3940.
956.,3966.6666666667
957.,4120.
958.,3893.3333333333
959.,4130.
960.,4050.
961.,3986.6666666667
962.,3943.3333333333
963.,4243.3333333333
964.,4050.
965.,3930.
966.,3890.
967.,4076.6666666667
968.,3946.6666666667
969.,3856.6666666667
970.,4033.3333333333
971.,3630.
972.,3876.6666666667
973.,4036.6666666667
974.,4186.6666666667
975.,3713.3333333333
976.,4206.6666666667
977.,4056.6666666667
978.,3910.
979.,3950.
980.,3940.
981.,3960.
982.,4156.6666666667
983.,3950.
984.,3970.
985.,4130.
986.,4116.6666666667
987.,3863.3333333333
988.,3836.6666666667
989.,3830.
990.,3900.
991.,3730.
992.,4236.6666666667
993.,3956.6666666667
994.,3950.
995.,3836.6666666667
996.,3883.3333333333
997.,4063.3333333333
998.,3953.3333333333
999.,3906.6666666667
1000.,3950.
1001.,4013.3333333333
1002.,3600.
1003.,4040.
1004.,4010.
1005.,3983.3333333333
1006.,4166.6666666667
1007.,3723.3333333333
1008.,3836.6666666667
1009.,4006.6666666667
1010.,3976.6666666667
1011.,3826.6666666667
1012.,4146.6666666667
1013.,3816.6666666667
1014.,4226.6666666667
1015.,3946.6666666667
1016.,4123.3333333333
1017.,4070.
1018.,4176.6666666667
1019.,4036.6666666667
1020.,4103.3333333333
1021.,3983.3333333333
1022.,3986.6666666667
1023.,3753.3333333333
1024.,3750.
1025.,3863.3333333333
1026.,3850.
1027.,3863.3333333333
1028.,3856.6666666667
1029.,3870.
1030.,3800.
1031.,3646.6666666667
1032.,4016.6666666667
1033.,4043.3333333333
1034.,4013.3333333333
1035.,3756.6666666667
1036.,4033.3333333333
1037.,3930.
1038.,3823.3333333333
1039.,3936.6666666667
1040.,4040.
1041.,3866.6666666667
1042.,3976.6666666667
1043.,3773.3333333333
1044.,4216.6666666667
1045.,3730.
1046.,3813.3333333333
1047.,3930.
1048.,3726.6666666667
1049.,3940.
1050.,4006.6666666667
1051.,3843.3333333333
1052.,3940.
1053.,4056.6666666667
1054.,3713.3333333333
1055.,3786.6666666667
1056.,3983.3333333333
1057.,3793.3333333333
1058.,4110.
1059.,4073.3333333333
1060.,3903.3333333333
1061.,3920.
1062.,3956.6666666667
1063.,3843.3333333333
1064.,3916.6666666667
1065.,3813.3333333333
1066.,3843.3333333333
1067.,3586.6666666667
1068.,3640.
1069.,4030.
1070.,3853.3333333333
1071.,3923.3333333333
1072.,3840.
1073.,3780.
1074.,3863.3333333333
1075.,3993.3333333333
1076.,3913.3333333333
1077.,4120.
1078.,3843.3333333333
1079.,3963.3333333333
1080.,4013.3333333333
1081.,3706.6666666667
1082.,3656.6666666667
1083.,3823.3333333333
1084.,3713.3333333333
1085.,3986.6666666667
1086.,4020.
1087.,3846.6666666667
1088.,3866.6666666667
1089.,3906.6666666667
1090.,3733.3333333333
1091.,3713.3333333333
1092.,3796.6666666667
1093.,4096.6666666667
1094.,3873.3333333333
1095.,3730.
1096.,3770.
1097.,3776.6666666667
1098.,4210.
1099.,3613.3333333333
1100.,3806.6666666667
1101.,3866.6666666667
1102.,3913.3333333333
1103.,4036.6666666667
1104.,3800.
1105.,3940.
1106.,3806.6666666667
1107.,4043.3333333333
1108.,4146.6666666667
1109.,3723.3333333333
1110.,3746.6666666667
1111.,3656.6666666667
1112.,3583.3333333333
1113.,3716.6666666667
1114.,3770.
1115.,3846.6666666667
1116.,3980.
1117.,3903.3333333333
